Front,Back,Tags
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ولا يهمك</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wala yhemmak)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>no problem</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ولا يهمك، أنا بساعدك.</div><div style='text-align:center; font-size:24px;'>wala yhemmak, ana bsaʿdak.</div><div style='text-align:center; font-size:24px;'>No worries, I’ll help you.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>عنجد</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ʿanjad)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>really?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>عنجد رح تيجي اليوم؟</div><div style='text-align:center; font-size:24px;'>ʿanjad raḥ tiji l-yōm?</div><div style='text-align:center; font-size:24px;'>Really, you’re coming today?</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akeed)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>of course</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد، بشوفك بالليل.</div><div style='text-align:center; font-size:24px;'>akeed, bshūfak bil-lēl.</div><div style='text-align:center; font-size:24px;'>Of course, I’ll see you tonight.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ماشي</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(māshi)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>ok / sounds good</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ماشي، خلّينا نبلّش هلق.</div><div style='text-align:center; font-size:24px;'>māshi, khallīna nballeš hallaʾ.</div><div style='text-align:center; font-size:24px;'>Sounds good, let’s start now.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ولا شي</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(wala shi)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>nothing</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو صار؟ ولا شي، كلّو تمام.</div><div style='text-align:center; font-size:24px;'>shu ṣār? wala shi, killo tamām.</div><div style='text-align:center; font-size:24px;'>What happened? Nothing, everything is fine.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>لحظة</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(laḥẓa)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>one second</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لحظة، عم ردّ عالتلفون.</div><div style='text-align:center; font-size:24px;'>laḥẓa, ʿam rudd ʿa t-telefōn.</div><div style='text-align:center; font-size:24px;'>One second, I’m answering the phone.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>طيب</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ṭayyib)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>okay / alright</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>طيب، منلتقي بكرا الصبح.</div><div style='text-align:center; font-size:24px;'>ṭayyib, mnilteʾi bukra ṣ-ṣubḥ.</div><div style='text-align:center; font-size:24px;'>Alright, we’ll meet tomorrow morning.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>شو؟</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(shu)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>what?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>شو؟ ما سمعتك منيح.</div><div style='text-align:center; font-size:24px;'>shu? ma smeʿtak mniḥ.</div><div style='text-align:center; font-size:24px;'>What? I didn’t hear you well.</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ليش؟</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(leish)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>why?</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ليش متأخّر اليوم؟</div><div style='text-align:center; font-size:24px;'>lēsh mtaʾakhkher il-yōm?</div><div style='text-align:center; font-size:24px;'>Why are you late today?</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>تمام</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(tamām)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>perfect / great</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>تمام، كل شي جاهز.</div><div style='text-align:center; font-size:24px;'>tamām, kill shi jāhez.</div><div style='text-align:center; font-size:24px;'>Great, everything is ready.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ممتاز</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mumtāz)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>excellent</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ممتاز! هيك أحسن بكتير.</div><div style='text-align:center; font-size:24px;'>mumtāz! hēk aḥsan bktīr.</div><div style='text-align:center; font-size:24px;'>Excellent! This is much better.</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>يمكن</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(yimkin)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>maybe</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>يمكن أخلص الشغل بكّير.</div><div style='text-align:center; font-size:24px;'>yumkin akhalliṣ ish-shughl bakkīr.</div><div style='text-align:center; font-size:24px;'>Maybe I’ll finish work early.</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد لا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akeed la)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>of course not</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد لا، ما بصير هيك.</div><div style='text-align:center; font-size:24px;'>akeed la, ma bṣīr hēk.</div><div style='text-align:center; font-size:24px;'>Of course not, that’s not okay.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>آه</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(āh)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>yes</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>آه، فهمت عليك هلق.</div><div style='text-align:center; font-size:24px;'>āh, fhemt ʿalēk hallaʾ.</div><div style='text-align:center; font-size:24px;'>Yeah, I understand you now.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>لا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(la)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>no</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>لا، اليوم ما عندي وقت.</div><div style='text-align:center; font-size:24px;'>la, il-yōm ma ʿindī waʾt.</div><div style='text-align:center; font-size:24px;'>No, I don’t have time today.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>بصراحة</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(bi-ṣarāḥa)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>honestly</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>بصراحة، هالفكرة كتير حلوة.</div><div style='text-align:center; font-size:24px;'>biṣarāḥa, hal-fikra ktīr ḥilwe.</div><div style='text-align:center; font-size:24px;'>Honestly, this idea is really nice.</div></div>",reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ما بعرف</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(ma baʿrif)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>I don't know</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ما بعرف وين المفتاح.</div><div style='text-align:center; font-size:24px;'>ma baʿref wēn il-miftāḥ.</div><div style='text-align:center; font-size:24px;'>I don’t know where the key is.</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>ممكن</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(mumkin)</div></div>,<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>maybe / possible</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>ممكن تبعتلي العنوان؟</div><div style='text-align:center; font-size:24px;'>mumkin tibʿatlī il-ʿunwān?</div><div style='text-align:center; font-size:24px;'>Could you send me the address?</div></div>,reaction
<div style='text-align:center; line-height:1.05;'><div style='color:#7C3AED; font-size:40px; font-weight:800;'>أكيد طبعا</div><div style='color:#14B8A6; font-size:30px; font-weight:700; margin-top:6px;'>(akeed ṭabʿan)</div></div>,"<div style='line-height:1.25;'><div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center;'>yes of course</div><div style='font-size:28px; font-weight:900; margin:8px 0 10px 0; text-align:center;'>Example:</div><div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center;'>أكيد طبعاً، أنا جاهز.</div><div style='text-align:center; font-size:24px;'>akeed ṭabʿan, ana jāhez.</div><div style='text-align:center; font-size:24px;'>Yes, of course, I’m ready.</div></div>",reaction
